language,GridSize,boundary,ic,dt_out,timepoint,l2_error,pathname
Julia,256,neumann,50p,10,1,0.0015097737743468983,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_256_neumann_dtout_1050p_phi.csv
Julia,64,neumann,25p,10,1,0.0068463618461863255,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_64_neumann_dtout_1025p_phi.csv
Julia,256,periodic,75p,10,1,0.0021599777803012867,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_256_periodic_dtout_1075p_phi.csv
Julia,128,neumann,75p,10,1,0.004417308469059748,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_128_neumann_dtout_1075p_phi.csv
Julia,512,neumann,50p,10,1,0.0057843589331963464,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_512_neumann_dtout_1050p_phi.csv
Julia,128,periodic,75p,10,1,0.004242186699480037,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_128_periodic_dtout_1075p_phi.csv
Julia,64,neumann,75p,10,2,0.010581652394820045,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_64_neumann_dtout_1075p_phi.csv
Julia,512,periodic,50p,10,2,0.008072392856490303,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_512_periodic_dtout_1050p_phi.csv
Julia,64,neumann,50p,10,2,0.01306768756451266,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_64_neumann_dtout_1050p_phi.csv
Julia,512,periodic,75p,10,2,0.0024343437455461303,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_512_periodic_dtout_1075p_phi.csv
Julia,256,periodic,25p,10,2,0.001580747310422191,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_256_periodic_dtout_1025p_phi.csv
Julia,256,periodic,50p,10,2,0.0021450223757127113,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_256_periodic_dtout_1050p_phi.csv
Julia,128,periodic,50p,10,2,0.007465977786132895,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_128_periodic_dtout_1050p_phi.csv
Julia,512,neumann,25p,10,2,0.004131203599644701,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_512_neumann_dtout_1025p_phi.csv
Julia,128,neumann,25p,10,2,0.004116615648531394,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_128_neumann_dtout_1025p_phi.csv
Julia,512,neumann,75p,10,2,0.002399246590933387,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_512_neumann_dtout_1075p_phi.csv
Julia,64,periodic,50p,10,2,0.013561644785426943,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_64_periodic_dtout_1050p_phi.csv
Julia,128,neumann,50p,10,2,0.007638645394377187,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_128_neumann_dtout_1050p_phi.csv
Julia,512,periodic,25p,10,2,0.0041477654590912185,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_512_periodic_dtout_1025p_phi.csv
Julia,64,periodic,25p,10,2,0.011735144691743627,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_64_periodic_dtout_1025p_phi.csv
Julia,256,neumann,25p,10,2,0.0015798335914829617,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_256_neumann_dtout_1025p_phi.csv
Julia,128,periodic,25p,10,2,0.00403050683482201,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_128_periodic_dtout_1025p_phi.csv
Julia,64,periodic,75p,10,2,0.010997120556711846,/project/g_bme-janeslab/SarahG/spinodal_decomp_06_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_64_periodic_dtout_1075p_phi.csv
