language,method,GridSize,boundary,ic,dt_out,timepoint,mass,pathname
Julia,NMG,512,neumann,75p,10,0,0.0,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_512_neumann_dtout_10_75p_mass.csv
Julia,NMG,512,neumann,75p,10,1,-73656.46283940166,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_512_neumann_dtout_10_75p_mass.csv
Julia,NMG,512,neumann,75p,10,2,-74802.13892887475,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_512_neumann_dtout_10_75p_mass.csv
Julia,SAV,512,neumann,75p,10,0,0.0,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/SAV_Julia_2000_dt_5.50e-06_Nx_512_neumann_dtout_10_75p_mass.csv
Julia,SAV,512,neumann,75p,10,1,-2.546585164964199e-11,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/SAV_Julia_2000_dt_5.50e-06_Nx_512_neumann_dtout_10_75p_mass.csv
Julia,SAV,512,neumann,75p,10,2,-7.275957614183426e-11,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/SAV_Julia_2000_dt_5.50e-06_Nx_512_neumann_dtout_10_75p_mass.csv
Julia,SAV,512,periodic,50p,10,0,0.0,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/SAV_Julia_2000_dt_5.50e-06_Nx_512_periodic_dtout_10_mass.csv
Julia,SAV,512,periodic,50p,10,1,1.9554136088117957e-11,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/SAV_Julia_2000_dt_5.50e-06_Nx_512_periodic_dtout_10_mass.csv
Julia,SAV,512,periodic,50p,10,2,2.2282620193436742e-11,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/SAV_Julia_2000_dt_5.50e-06_Nx_512_periodic_dtout_10_mass.csv
Julia,SAV,128,neumann,25p,10,0,0.0,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/SAV_Julia_2000_dt_5.50e-06_Nx_128_neumann_dtout_10_25p_mass.csv
Julia,SAV,128,neumann,25p,10,1,-4.547473508864641e-13,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/SAV_Julia_2000_dt_5.50e-06_Nx_128_neumann_dtout_10_25p_mass.csv
Julia,SAV,128,neumann,25p,10,2,-9.094947017729282e-13,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/SAV_Julia_2000_dt_5.50e-06_Nx_128_neumann_dtout_10_25p_mass.csv
Julia,NMG,512,neumann,50p,10,0,0.0,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_512_neumann_dtout_10_mass.csv
Julia,NMG,512,neumann,50p,10,1,60.731465306118366,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_512_neumann_dtout_10_mass.csv
Julia,NMG,512,neumann,50p,10,2,-93.60749000072678,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_512_neumann_dtout_10_mass.csv
Julia,SAV,128,neumann,50p,10,0,0.0,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/SAV_Julia_2000_dt_5.50e-06_Nx_128_neumann_dtout_10_mass.csv
Julia,SAV,128,neumann,50p,10,1,2.3003821070233244e-12,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/SAV_Julia_2000_dt_5.50e-06_Nx_128_neumann_dtout_10_mass.csv
Julia,SAV,128,neumann,50p,10,2,-3.197442310920451e-13,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/SAV_Julia_2000_dt_5.50e-06_Nx_128_neumann_dtout_10_mass.csv
Julia,NMG,256,periodic,50p,10,0,0.0,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_256_periodic_dtout_10_mass.csv
Julia,NMG,256,periodic,50p,10,1,-5.35075012870513,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_256_periodic_dtout_10_mass.csv
Julia,NMG,256,periodic,50p,10,2,6.67872805296318,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_256_periodic_dtout_10_mass.csv
Julia,NMG,256,neumann,50p,10,0,0.0,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_256_neumann_dtout_10_mass.csv
Julia,NMG,256,neumann,50p,10,1,4.480061392066716,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_256_neumann_dtout_10_mass.csv
Julia,NMG,256,neumann,50p,10,2,70.75597827187028,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_256_neumann_dtout_10_mass.csv
Julia,SAV,256,periodic,50p,10,0,0.0,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/SAV_Julia_2000_dt_5.50e-06_Nx_256_periodic_dtout_10_mass.csv
Julia,SAV,256,periodic,50p,10,1,-9.947598300641403e-13,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/SAV_Julia_2000_dt_5.50e-06_Nx_256_periodic_dtout_10_mass.csv
Julia,SAV,256,periodic,50p,10,2,2.1884716261411086e-12,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/SAV_Julia_2000_dt_5.50e-06_Nx_256_periodic_dtout_10_mass.csv
Julia,SAV,512,periodic,25p,10,0,0.0,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/SAV_Julia_2000_dt_5.50e-06_Nx_512_periodic_dtout_10_25p_mass.csv
Julia,SAV,512,periodic,25p,10,1,-2.9103830456733704e-11,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/SAV_Julia_2000_dt_5.50e-06_Nx_512_periodic_dtout_10_25p_mass.csv
Julia,SAV,512,periodic,25p,10,2,-7.275957614183426e-11,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/SAV_Julia_2000_dt_5.50e-06_Nx_512_periodic_dtout_10_25p_mass.csv
Julia,NMG,256,periodic,75p,10,0,0.0,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_256_periodic_dtout_10_75p_mass.csv
Julia,NMG,256,periodic,75p,10,1,-7403.506717727432,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_256_periodic_dtout_10_75p_mass.csv
Julia,NMG,256,periodic,75p,10,2,-8271.756448645065,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_256_periodic_dtout_10_75p_mass.csv
Julia,NMG,512,periodic,25p,10,0,0.0,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_512_periodic_dtout_10_25p_mass.csv
Julia,NMG,512,periodic,25p,10,1,73115.35445693892,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_512_periodic_dtout_10_25p_mass.csv
Julia,NMG,512,periodic,25p,10,2,74275.1542370104,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_512_periodic_dtout_10_25p_mass.csv
Julia,NMG,128,periodic,75p,10,0,0.0,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_128_periodic_dtout_10_75p_mass.csv
Julia,NMG,128,periodic,75p,10,1,-179.54719116250635,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_128_periodic_dtout_10_75p_mass.csv
Julia,NMG,128,periodic,75p,10,2,-187.034862562532,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_128_periodic_dtout_10_75p_mass.csv
Julia,SAV,64,neumann,75p,10,0,0.0,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/SAV_Julia_2000_dt_5.50e-06_Nx_64_neumann_dtout_10_75p_mass.csv
Julia,SAV,64,neumann,75p,10,1,-1.7053025658242404e-13,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/SAV_Julia_2000_dt_5.50e-06_Nx_64_neumann_dtout_10_75p_mass.csv
Julia,SAV,64,neumann,75p,10,2,-2.2737367544323206e-13,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/SAV_Julia_2000_dt_5.50e-06_Nx_64_neumann_dtout_10_75p_mass.csv
Julia,SAV,512,periodic,75p,10,0,0.0,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/SAV_Julia_2000_dt_5.50e-06_Nx_512_periodic_dtout_10_75p_mass.csv
Julia,SAV,512,periodic,75p,10,1,-8.731149137020111e-11,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/SAV_Julia_2000_dt_5.50e-06_Nx_512_periodic_dtout_10_75p_mass.csv
Julia,SAV,512,periodic,75p,10,2,-2.9103830456733704e-11,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/SAV_Julia_2000_dt_5.50e-06_Nx_512_periodic_dtout_10_75p_mass.csv
Julia,NMG,64,neumann,50p,10,0,0.0,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_64_neumann_dtout_10_mass.csv
Julia,NMG,64,neumann,50p,10,1,0.03483089151244201,/project/g_bme-janeslab/SarahG/spinodal_decomp_04_2025/out_julia/NMG_Julia_2000_dt_5.50e-06_Nx_64_neumann_dtout_10_mass.csv
