simulation,language,nx,gam,dt,tol,max_it,max_it_CH,time_passed (sec)
critical_radius_R0_0.147_eps_0.030019,Julia,128,0.03001873982572423,2.5e-5,1.0e-6,400000,10000,2815.979708442
critical_radius_R0_0.145_eps_0.030019,Julia,128,0.03001873982572423,2.5e-5,1.0e-6,400000,10000,2941.136957435
critical_radius_R0_0.144_eps_0.030019,Julia,128,0.03001873982572423,2.5e-5,1.0e-6,400000,10000,3040.950468289
critical_radius_R0_0.2_eps_0.060037,Julia,128,0.06003747965144846,2.5e-5,1.0e-6,400000,10000,3086.174808013
critical_radius_R0_0.1111_eps_0.015009,Julia,128,0.015009369912862116,2.5e-5,1.0e-6,400000,10000,3719.84275914
critical_radius_R0_0.1114_eps_0.015009,Julia,128,0.015009369912862116,2.5e-5,1.0e-6,400000,10000,4787.742701833
CPC_geometry_domain_0_2,Julia,512,0.0096,1.52587890625e-6,1.0e-5,9830,10000,4131.546748212
CPC_geometry_domain_0_2,Julia,512,0.0096,1.52587890625e-6,1.0e-5,29491,10000,12596.537825383
CPC_geometry_domain_0_2,Julia,512,0.0096,1.52587890625e-6,1.0e-5,29491,10000,12967.441401379
CPC_geometry_domain_0_2,Julia,512,0.0096,1.52587890625e-6,1.0e-5,29491,10000,14424.702617563
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,2653.901774722
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,2885.424477452
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,2914.323524499
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,2969.932699852
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,2972.062574327
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3002.182035065
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3010.907077706
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3018.517741563
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3024.503465743
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3073.83123395
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3081.414288788
CPC_geometry_domain_0_2_e_0.0075,Julia,512,0.0075,1.52587890625e-6,1.0e-5,19661,10000,3119.392294379
